Time(s),Speed(kmph)
0.02,0
1.03,0.033
2.04,0.069
3.05,0.097
4.06,0.1
5.07,0.1
6.08,0.1
7.09,0.1
8.1,0.1
9.11,0.1
10.12,0.1
11.13,0.107
12.14,0.119
13.15,0.132
14.16,0.144
15.17,0.157
16.18,0.169
17.19,0.182
18.2,0.195
19.21,1.018
20.22,2.283
21.23,3.591
22.24,8.88
23.25,12.426
24.26,15.52
25.27,18.58
26.28,21.514
27.29,23.274
28.3,26.501
29.31,28.09
30.32,32.028
31.33,35.755
32.34,39.268
33.35,41.619
34.36,42.679
35.37,43.48
36.38,44.256
37.39,44.973
38.4,45.541
39.41,46.093
40.42,46.647
41.43,46.889
42.44,46.407
43.45,47.001
44.46,43.456
45.47,42.238
46.48,41.251
47.49,40.283
48.5,39.317
49.51,38.359
50.52,37.934
51.53,36.715
52.54,35.621
53.55,34.96
54.56,34.342
55.57,33.026
56.58,32.278
57.59,27.474
58.6,25.175
59.61,17.818
60.62,14.154
61.63,12.711
62.64,11.514
63.65,10.748
64.66,10.573
65.67,10.456
66.68,10.346
67.69,10.236
68.7,9.539
69.71,6.555
70.72,3.61
71.73,1.801
72.74,1.241
73.75,1.052
74.76,0.9
75.77,0.752
76.78,0.604
77.79,0.456
78.8,0.308
79.81,0.16
80.82,0.106
81.83,0.101
82.84,0.1
83.85,0.1
84.86,0.1
85.87,0.1
86.88,0.1
87.89,0.101
88.9,0.118
89.91,0.136
90.92,0.155
91.93,0.173
92.94,0.191
93.95,0.775
94.96,6.873
95.97,11.156
96.98,16.938
97.99,20.396
99,23.923
100.01,26.602
101.02,29.1
102.03,34.067
103.04,35.407
104.05,37.768
105.06,39.234
106.07,42.114
107.08,42.911
108.09,43.499
109.1,44.633
110.11,45.35
111.12,45.796
112.13,46.215
113.14,47.578
114.15,47.438
115.16,47.148
116.17,45.044
117.18,43.387
118.19,42.982
119.2,39.9
120.21,38.186
121.22,37.538
122.23,36.91
123.24,35.867
124.25,35.568
125.26,35.343
126.27,34.514
127.28,32.335
128.29,31.47
129.3,24.746
130.31,22.245
131.32,18.622
132.33,17.493
133.34,14.863
134.35,12.967
135.36,11.323
136.37,10.624
137.38,10.179
138.39,9.761
139.4,10.507
140.41,9.091
141.42,5.715
142.43,5.584
143.44,4.553
144.45,3.688
145.46,3.171
146.47,2.688
147.48,2.21
148.49,1.731
149.5,1.253
150.51,0.774
151.52,0.296
152.53,0.427
153.54,0.694
154.55,1.459
155.56,2.747
156.57,4.091
157.58,4.831
158.59,6.183
159.6,5.896
160.61,5.468
161.62,5.025
162.63,4.581
163.64,4.06
164.65,1.27
165.66,1.14
166.67,1.643
167.68,2.209
168.69,2.825
169.7,4.174
170.71,5.559
171.72,6.644
172.73,7.402
173.74,8.127
174.75,9.517
175.76,9.007
176.77,8.306
177.78,7.587
178.79,5.714
179.8,4.044
180.81,2.744
181.82,2.311
182.83,1.965
183.84,1.628
184.85,1.291
185.86,0.954
186.87,0.617
187.88,0.281
188.89,0.118
189.9,0.102
190.91,0.1
191.92,0.1
192.93,0.1
193.94,0.1
194.95,0.1
195.96,0.1
196.97,0.1
197.98,0.1
198.99,0.1
200,0.1
201.01,0.1
202.02,0.1
203.03,0.1
204.04,0.169
205.05,0.385
206.06,0.617
207.07,0.85
208.08,2.677
209.09,8.143
210.1,10.895
211.11,12.249
212.12,12.764
213.13,13.194
214.14,13.616
215.15,15.287
216.16,15.351
217.17,15.254
218.18,15.141
219.19,15.026
220.2,14.851
221.21,14.662
222.22,14.471
223.23,14.609
224.24,14.957
225.25,15.291
226.26,17.701
227.27,20.58
228.28,24.869
229.29,28.078
230.3,31.206
231.31,33.686
232.32,35.531
233.33,36.903
234.34,37.483
235.35,37.983
236.36,38.475
237.37,38.777
238.38,39.087
239.39,39.548
240.4,40.023
241.41,40.5
242.42,42.652
243.43,43.555
244.44,44.172
245.45,43.114
246.46,41.89
247.47,40.093
248.48,41
249.49,35.204
250.5,36.064
251.51,35.868
252.52,36.128
253.53,36.434
254.54,36.744
255.55,37.055
256.56,39.176
257.57,37.78
258.58,36.305
259.59,34.908
260.6,33.722
261.61,32.19
262.62,29.572
263.63,28.919
264.64,26.406
265.65,24.565
266.66,23.471
267.67,22.109
268.68,19.801
269.69,16.002
270.7,15.917
271.71,11.978
272.72,9.857
273.73,8.083
274.74,6.577
275.75,5.098
276.76,3.784
277.77,2.24
278.78,3.3
279.79,4.734
280.8,6.688
281.81,11.694
282.82,19.682
283.83,19.145
284.84,18.979
285.85,18.481
286.86,17.95
287.87,16.501
288.88,15.674
289.89,11.935
290.9,7.161
291.91,6.8
292.92,7.229
293.93,7.736
294.94,8.251
295.95,10.506
296.96,10.447
297.97,8.659
298.98,7.641
299.99,6.157
301,3.969
302.01,2.602
303.02,1.931
304.03,1.478
305.04,1.047
306.05,0.781
307.06,0.671
308.07,0.578
309.08,0.486
310.09,0.394
311.1,1.092
312.11,6.759
313.12,9.201
314.13,13.037
315.14,15.696
316.15,19.338
317.16,20.751
318.17,21.815
319.18,22.777
320.19,24.425
321.2,26.973
322.21,27.807
323.22,30.47
324.23,30.885
325.24,22.136
326.25,18.558
327.26,16.2
328.27,13.713
329.28,10.781
330.29,8.062
331.3,7.248
332.31,3.125
333.32,2.982
334.33,4.163
335.34,12.265
336.35,16.135
337.36,18.632
338.37,20.672
339.38,21.977
340.39,24.554
341.4,26.909
342.41,35.181
343.42,37.144
344.43,38.61
345.44,42.025
346.45,43.866
347.46,45.517
348.47,47.136
349.48,48.752
350.49,49.794
351.5,49.841
352.51,49.704
353.52,49.549
354.53,49.392
355.54,45.221
356.55,36.537
357.56,29.994
358.57,28.43
359.58,29.348
360.59,30.668
361.6,31.449
362.61,32.176
363.62,34.853
364.63,40.56
365.64,42.305
366.65,45.441
367.66,47.782
368.67,50.812
369.68,51.854
370.69,52.696
371.7,53.519
372.71,54.492
373.72,55.122
374.73,55.47
375.74,55.791
376.75,56.079
377.76,56.177
378.77,56.257
379.78,56.335
380.79,56.413
381.8,56.491
382.81,55.945
383.82,55.086
384.83,54.228
385.84,53.501
386.85,50.62
387.86,47.722
388.87,45.614
389.88,43.623
390.89,42.151
391.9,39.351
392.91,39.444
393.92,36.841
394.93,37.672
395.94,38.846
396.95,40.054
397.96,41.265
398.97,46.985
399.98,40.698
400.99,39.506
402,39.031
403.01,37.338
404.02,34.692
405.03,33.067
406.04,33.193
407.05,33.251
408.06,33.302
409.07,33.352
410.08,33.403
411.09,33.453
412.1,33.538
413.11,33.774
414.12,34.025
415.13,35.34
416.14,35.83
417.15,36.237
418.16,36.636
419.17,36.919
420.18,37.184
421.19,37.448
422.2,37.712
423.21,38.076
424.22,38.605
425.23,39.158
426.24,40.123
427.25,41.032
428.26,39.383
429.27,35.937
430.28,32.724
431.29,22.28
432.3,14.858
433.31,13.829
434.32,13.466
435.33,7.332
436.34,2.882
437.35,1.776
438.36,1.007
439.37,0.651
440.38,0.633
441.39,0.649
442.4,0.668
443.41,0.688
444.42,0.896
445.43,2.712
446.44,4.869
447.45,8.217
448.46,15.004
449.47,17.484
450.48,25.931
451.49,31.825
452.5,34.463
453.51,37.61
454.52,38.47
455.53,40.628
456.54,42.074
457.55,44.53
458.56,45.116
459.57,45.516
460.58,45.896
