t(s),v(kmph)
0,0
2.8,0.1
10.5,0.4
18.5,1.1
21.5,4.1
21.7,8.6
22.8,10.4
23,12.1
24.1,15.4
25.2,18.8
26,20.4
26.3,22
27.3,23.5
27.9,25.3
28.6,28.1
28.7,27.6
29.6,28.6
30.5,33.5
31.3,36.1
32.4,39.9
33.1,41.6
33.7,42.3
37.1,44.9
40.4,46.7
41.1,47.3
42.1,46.1
43.4,47.1
44,46.6
44.2,43.3
46.2,41.4
48.5,39.2
48.8,38.5
50.5,37.9
52.2,35.7
55,34
56,32
56.3,32.6
56.9,31.7
57.1,27.9
58.8,24.5
59.1,21.3
59.5,18.1
59.8,14.8
60.8,13.5
62.7,11.3
63.3,10.7
67.9,10.2
68.5,10
69.1,8.3
70.4,3.8
71.9,1.3
80.1,0.1
87.8,0.1
93.3,0.2
94.1,1
94.3,5.5
94.9,7.7
95,6.8
95.2,9.2
96.2,12.4
96.8,16.9
97,17.7
97.5,18.3
98.1,21.4
98.8,22.7
99,24.4
100,26.9
100.3,28.1
101.3,29.9
101.6,33.1
102,34.6
103.4,35.9
103.5,37.3
105.2,39.6
105.8,41.3
106,42.4
108.5,43.8
109.3,45.1
112.7,46.5
112.9,47.8
115.2,47.1
116.5,44
116.8,43.3
118.7,42.8
119,39.9
120,38.1
122.1,37
123,35.8
125.8,35.2
127.1,33
127.7,29.8
128.4,31.7
128.6,30.8
129.3,23.9
129.7,22.9
130.6,21.5
131,18.4
132.2,17.7
133.5,14.1
135.5,10.9
138.9,9.5
139.3,10.5
140,11.2
140.9,6.1
141.3,3.8
141.5,6.6
144,3.8
151.6,0.2
153.5,0.7
154.5,1.5
155.4,2.5
155.9,3.8
158,5.2
158.3,6.8
158.6,6.3
163.6,4.1
164,2.8
164.4,1.2
164.9,0.7
168.6,2.8
169.2,3.5
169.6,4.2
171.2,6.4
174,8.4
174.1,12.4
174.4,13.1
174.7,9.7
178.2,7.2
178.6,5.8
180.5,2.7
188.3,0.1
196,0.1
203.7,0.1
207.6,1
208.2,3.4
208.5,5.7
208.9,8
209.5,10.5
211.1,12.4
214.7,13.9
214.9,15.5
219.3,15
223,14.3
223.2,14.6
223.7,15.2
225,14.7
226.3,18.1
226.9,20.8
227.2,20.2
227.5,23.7
227.8,24.8
228.2,25.1
228.8,27.2
229.5,29
230.1,31.1
231.4,34.2
233,36.9
236.7,38.7
237.9,38.9
241.5,40.6
241.7,42.4
243,43.3
244.3,44.4
246.9,41.2
247.5,39.8
247.7,41.7
248.6,41
249.1,36.4
249.4,34.4
250.4,36.4
250.7,35.6
255.9,37.2
256.5,39.5
257.8,37.2
260.2,33.9
260.4,33.4
261,34
262,30.7
262.3,29.4
263.6,28.9
264.9,25.4
265.2,24.8
266.7,23.3
267.5,22.1
268.4,21.3
268.8,18.7
269.5,17.2
269.7,15.4
270,16.4
270.7,15.9
271.3,12.3
273.3,8.5
275.9,4.7
277.1,3.2
277.8,2
280.4,5.8
281,7.5
281.6,9.6
282,14.9
282.9,21.2
283.2,24.9
283.4,21.1
283.6,18.7
284,19.4
287.4,17.6
287.6,15.3
288.1,17.3
289.4,14.4
290,10.8
290.2,7.5
290.4,6.1
290.7,7.2
291,6.3
295.5,8.6
295.8,10.8
297.4,10.3
297.7,8.7
299,7.5
300.3,5.5
301,3.7
302.2,2.2
305.5,0.8
311,0.3
311.3,3.2
311.6,6.5
312.5,8.1
313.3,9.9
313.4,11.5
313.8,12.7
315.1,15.8
315.6,19
316.4,20.1
317.7,21.5
319.4,23.1
320.9,26
321.2,27.3
322.2,27.9
322.5,30.1
324.1,31.6
324.8,27.7
325,23.6
325.1,21.9
325.4,20.2
326.1,19
326.3,17.8
326.7,17.3
328.8,12.1
330.2,7.2
330.3,7.9
331.5,7
331.9,4.2
332.5,1.9
334.4,4.4
334.7,9.8
335.1,11.9
335.7,15.2
337.2,18.4
337.7,20.1
339.6,22.4
339.9,24.2
341.1,25.8
342.2,31
342.4,36.1
344.4,38.6
344.7,41.2
346.7,44.5
349.7,49.3
349.8,50.1
350.3,49.1
350.5,50
355,49.3
355.7,43.3
356.3,37.3
357.3,30.1
357.6,29.1
358.1,33.7
358.3,29.6
358.9,26.5
359.4,28.6
359.6,29.6
360,30.4
362.8,32.4
363.4,34.1
364.1,37.6
364.3,40.8
365.6,42.4
366.6,45.7
367.9,48.6
368.6,51.1
371.8,53.7
373.1,55
376.6,56.1
381.8,56.5
383.1,55.7
384.3,54.5
386,53.3
387.4,48.3
389.8,43.5
391.3,41.4
391.9,39
393,39.5
393.4,41.3
393.5,39.4
393.7,36.3
398.2,41.7
398.8,48.1
399.5,46
399.7,42.8
399.9,40.7
400.1,38.7
400.4,39.6
402.7,38.7
403.3,35.6
404.6,33.4
405.5,32.3
405.9,33.2
411.9,33.5
414.3,34.1
414.9,35.4
418.2,36.7
422.8,37.9
425.2,39.2
427.2,41.2
428.1,39.7
428.7,37.7
429.1,37.1
429.4,34.2
429.7,33.1
430.4,32.2
430.6,29.9
431,23.5
432,15
432.3,14
434.4,13.4
434.6,7.7
434.9,7
435.5,6.5
435.9,2.7
438.1,1.1
438.8,0.6
443.9,0.7
444.6,1
445.8,3.8
447.1,6.5
447.8,10.8
448,15.1
449.3,17
449.7,18.9
450.4,25.4
450.7,31.7
452.3,33.3
452.6,35.6
452.9,37.6
454.9,38.8
455.1,40.3
456.8,42.6
457,44.6
461,46.1
461.3,47.4
468.9,47.6
469,47.9
471.8,47.2
471.9,40
472.2,39.3
474.8,38.6
476.8,31.9
482.7,29.3
483.1,27.9
483.2,24.5
483.3,19.7
483.5,24.3
